FID,OBJECTID,Road_Block,Road_Speed,Road_Width,Road_AADT,Length,wmean.koala,wmean.kangaroo,wmean.wallaby,veg500,veg100m,sinuosity,Wallabies_counts,Koala_counts,Kangaroo_counts,veg100_prop,wmean.koala100,wmean.wallaby100,wmean.kangaroo100,imp.prop,barren.prop,veghigh,vegmid,veglow,vegveryhigh
10126,14442,214451,80,4,0,247.9530029,330.8855904,787.0039131,818.6649212,45900,19800,0.999617282,0,0,1,0.75862069,777.4992927,814.5501046,765.4480146,0.079974202,0.148178007,0.306836504,0.022089649,0.147049339,0.206707514
10127,14442,214451,80,4,0,250.0160065,301.0025973,802.132954,772.6731797,46800,18000,0.991812001,0,0,0,0.714285714,746.4795605,840.9131212,771.6584758,0.05024804,0.104656745,0.45287246,0.022883661,0.124979997,0.141142583
10128,14444,214453,80,4,0,249.4949951,290.1717085,808.9675752,761.1197441,41400,20700,0.997057178,0,0,0,0.821428571,686.1917182,601.0983981,640.5054012,0.148397436,0.116346154,0.374038462,0.011538462,0.087820513,0.061858974
10129,14444,214453,80,4,0,247.8379974,320.5805068,835.0718729,993.9683203,72000,18000,0.999925511,0,0,0,0.769230769,929.4659639,673.2083354,797.348536,0.124878993,0.112132946,0.550822846,0.031784447,0.073410778,0.02178122
10130,14446,214455,80,4,0,250.7160034,312.7242541,732.7979235,993.3782565,77400,17100,0.998405084,0,0,0,0.703703704,947.6127034,851.1783774,775.6797857,0.060977551,0.08040121,0.572361089,0.027065754,0.0756249,0.103168285
10131,14446,214455,80,4,0,246.3150024,414.474722,823.2264338,995.3033058,101700,20700,0.998995638,0,0,0,0.884615385,991.3686914,913.4038441,819.801777,0.070836718,0.086271324,0.49114541,0.037043054,0.091957758,0.169130788
10132,14448,214457,80,4,0,232.7250061,523.8059256,811.8453258,995.2303746,120600,23400,0.969569524,0,0,0,1,991.7649604,907.5831595,717.4348656,0.01239456,0.077466001,0.554140127,0.02737132,0.083318988,0.204165949
10133,14448,214457,80,4,0,218.345993,489.8522937,826.4934389,995.596739,113400,22500,0.998751175,0,0,0,1,991.8509828,908.1669987,765.3013184,0.021982048,0.056970141,0.555962631,0.02747756,0.096904195,0.21688954
10134,14450,214459,80,4,0,264.8250122,484.9642698,844.3644718,995.3917974,135900,26100,0.999883442,0,0,0,1,992,942.3153962,819.1775319,0.025974026,0.06115977,0.60268801,0.043340381,0.100573845,0.126849894
10135,14450,214459,80,4,0,8.160790443,452.1781473,852.314582,994.8766844,4500,1800,0.99999899,0,0,0,1,992,956.7549259,734.4554846,0.039408867,0.18226601,0.522167488,0.034482759,0.098522167,0.049261084
10136,14450,214459,80,4,0,268.5289917,390.6947433,821.0818752,995.1495959,138600,29700,0.991535701,0,0,0,1,991.6589132,889.9248491,760.6703301,0.020858164,0.069278903,0.63364124,0.028307509,0.080899881,0.12306317
10137,14452,214461,80,4,0,253.1309967,342.6577253,853.347016,995.6807348,126000,24300,0.992998058,0,0,0,1,990.8704538,774.7034487,788.3222827,0.049304678,0.104298357,0.540613148,0.047408344,0.082332491,0.110619469
